Time,Velocity,GForce,Acceleration,Thrust,TWR,Mass,AltitudeFromTerrain,AltitudeFromSea,DownrangeDistance,Latitude,Longitude,Apoapsis,Periapsis,Inclination,OrbitalVelocity,StageDeltaV,
150,452,0,0.7,60,4.31,8.54,99945.39,1447.21,132.5,0,-54.14,100154,98378,0.06,465,943,
151,452,0.06,0.9,4.8,0.35,8.54,99944.84,1465.12,133.06,0,-54.09,100082,97557,0.06,465,944,
152,451,0.06,0.9,4.8,0.35,8.54,99943.96,1508.35,133.95,0,-54,100032,96207,0.06,465,943,
153,450,0.06,0.9,4.8,0.35,8.54,99943.04,1593.86,134.87,0,-53.92,100007,94782,0.06,464,943,
154,450,0.06,0.9,4.8,0.35,8.54,99942.15,1583.7,135.75,0,-53.83,99994,93412,0.06,463,942,
155,449,0.06,0.9,4.8,0.35,8.54,99941.22,1588.05,136.67,0,-53.74,99984,91988,0.06,463,941,
156,449,0.06,0.9,4.8,0.35,8.53,99940.32,1589.42,137.55,0,-53.66,99978,90625,0.06,462,941,
157,448,0.06,0.9,4.8,0.35,8.53,99939.37,1589.91,138.46,0,-53.57,99973,89214,0.06,462,940,
158,448,0.06,0.9,4.8,0.35,8.53,99938.44,1592.26,139.34,0,-53.49,99969,87864,0.06,461,940,
159,447,0.06,0.9,4.8,0.35,8.53,99937.47,1586.71,140.25,0,-53.4,99965,86466,0.06,461,939,
160,447,0.06,0.9,4.8,0.35,8.53,99936.51,1570.35,141.13,0,-53.32,99963,85131,0.06,460,939,
161,446,0.06,0.9,4.8,0.35,8.53,99935.5,1541.49,142.04,0,-53.23,99960,83748,0.06,460,938,
162,445,0.06,0.9,4.8,0.35,8.53,99934.51,1550.11,142.91,0,-53.15,99958,82428,0.06,459,938,
163,445,0.06,0.9,4.8,0.35,8.52,99933.46,1555.12,143.82,0,-53.06,99957,81060,0.06,458,937,
164,444,0.06,0.9,4.8,0.35,8.52,99932.43,1538.04,144.69,0,-52.98,99955,79754,0.06,458,936,
165,444,0.06,0.9,4.8,0.35,8.52,99931.33,1543.27,145.6,0,-52.89,99953,78402,0.06,457,936,
166,443,0.06,0.9,4.8,0.35,8.52,99930.24,1532.21,146.47,0,-52.81,99952,77110,0.06,457,935,
167,443,0.06,0.9,4.8,0.35,8.52,99929.09,1541.71,147.37,0,-52.72,99951,75773,0.06,456,935,
168,442,0.06,0.9,4.8,0.35,8.52,99927.95,1550.76,148.24,0,-52.64,99950,74495,0.06,456,934,
169,441,0.06,0.9,4.8,0.35,8.52,99926.73,1550.51,149.14,0,-52.55,99948,73172,0.06,455,934,
170,441,0.06,0.9,4.8,0.35,8.51,99925.52,1520.05,150,0,-52.47,99947,71909,0.06,454,933,
171,440,0.06,0.9,4.8,0.35,8.51,99924.23,1485.77,150.9,0,-52.38,99946,70601,0.06,454,933,
172,440,0.09,1.11,7.8,0.56,8.51,99922.96,1499.91,151.77,0,-52.3,99945,69081,0.06,453,932,
173,438,0.16,1.69,14.4,1.04,8.51,99921.6,1513.17,152.66,0,-52.22,99943,66145,0.06,452,931,
174,437,0.21,2.17,17.4,1.26,8.5,99920.24,1540,153.52,0,-52.13,99940,62104,0.06,450,929,
175,434,0.25,2.57,21,1.52,8.5,99918.78,1538.12,154.41,0,-52.05,99938,56991,0.06,448,926,
176,432,0.29,2.91,24,1.74,8.49,99917.31,1534.11,155.26,0,-51.97,99936,51552,0.06,445,924,
177,429,0.29,2.92,24,1.74,8.48,99915.71,1546.14,156.13,0,-51.88,99934,45643,0.05,442,921,
178,426,0.29,2.92,24,1.74,8.48,99914.1,1541.88,156.97,0,-51.8,99932,40114,0.05,439,918,
179,423,0.29,2.92,24,1.74,8.47,99912.32,1554.92,157.84,0,-51.72,99930,34509,0.05,437,916,
180,420,0.29,2.92,24,1.74,8.46,99910.52,1590.71,158.67,0,-51.64,99929,29261,0.05,434,913,
181,417,0.29,2.92,24,1.74,8.46,99908.55,1630.62,159.52,0,-51.56,99927,23937,0.04,431,910,
182,415,0.29,2.93,24,1.74,8.45,99906.55,1656.69,160.34,0,-51.48,99926,18951,0.04,428,907,
183,412,0.29,2.93,24,1.75,8.44,99904.34,1637.96,161.18,0,-51.4,99925,13890,0.04,425,904,
184,409,0.29,2.93,24,1.75,8.43,99902.11,1621.96,161.98,0,-51.33,99923,9147,0.04,422,901,
